family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
llama,3b,1e-06,0.01,200,1423.3,53.66894197952219,25.75757575757576,45.86808188021228,76.95678151762597,77.42110990206747,40.922589990052366,72.70387017557857,51.766666666666666,65.3061224489796,0.6567845802051113,653.0728681265806,-0.19549960366724628,-0.8532504872636343,-0.43468174315684194
llama,3b,1e-06,0.01,400,2846.7,54.01023890784983,26.767676767676768,47.536012130401815,77.40489942242581,77.25788900979326,41.42206406804574,71.2887915176177,60.83333333333333,68.4931506849315,0.4080699200958093,674.6149533873156,-0.16695405284741535,-1.3074167291582153,-0.58166775332407
llama,3b,1e-06,0.01,600,4270.0,53.839590443686006,25.252525252525253,47.15693707354056,77.62397928699463,77.20348204570186,41.60328914789759,72.72885942632216,59.03333333333333,73.44827586206897,0.7838476732580318,735.0815959295053,-0.5904077412308677,-1.2185033688334537,-0.8188061512681716
llama,3b,1e-06,0.01,800,5693.3,54.26621160409556,24.24242424242424,46.929492039423806,77.71360286795459,77.20348204570186,41.76509753248515,73.25341205778444,62.5,80.0,1.1998543972956297,729.1335376438146,-0.6501111210891336,-1.0816159152699492,-0.807021955336703
llama,3b,1e-06,0.01,1000,7116.7,54.35153583617748,26.767676767676768,47.460197119029566,77.76339374626569,77.25788900979326,41.78202834781486,71.49613026768974,60.0,73.02158273381295,0.7542356593052395,734.3207359415012,-0.41322802920110174,-1.4135353124225956,-0.7769761321907359
llama,3b,1e-06,0.01,1200,8540.0,54.522184300341294,24.747474747474747,46.85367702805156,77.78331009759012,76.87704026115343,41.82048692988327,72.65267268625027,64.1,79.43262411347519,0.7996798825056096,772.1754206456743,-0.8612464843135583,-0.9254916565302893,-0.8846083651196422
llama,3b,1e-06,0.01,1400,9963.3,54.18088737201365,26.262626262626267,47.38438210765732,77.81318462457678,76.98585418933624,41.87885291132323,73.2921426260101,62.2,79.92700729927007,0.9654331463600202,746.0976105402533,-0.5629783628377892,-1.0845736779099502,-0.7526493865003931
llama,3b,1e-06,0.01,1600,11386.7,54.09556313993175,24.747474747474747,47.23275208491281,77.88289185421232,77.04026115342764,41.77890058493485,72.24674973514719,61.63333333333333,77.43055555555556,1.3922106757880144,740.7902931455078,-0.8402211747242765,-1.1355520736328581,-0.9476142288728517
llama,3b,1e-06,0.01,1800,12810.0,54.18088737201365,26.262626262626267,47.38438210765732,77.80322644891456,77.09466811751903,41.8448121298545,72.44034716773714,62.56666666666666,78.27586206896552,0.7994114453140853,762.9122197928073,-0.5723422661556702,-1.0509818522397667,-0.7463930247317052
llama,3b,1e-06,0.01,2000,14233.3,54.26621160409556,24.24242424242424,47.08112206216831,77.69368651663015,77.25788900979326,41.78132186463597,70.88663634711455,62.13333333333333,83.33333333333334,1.177653499406908,737.5042528371725,-0.7871756373884214,-0.8722161507701469,-0.8180994604363216
