family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
llama,8b,1e-06,0.01,200,3730.0,54.69283276450512,24.747474747474747,76.64897649734648,77.57418840868353,76.16974972796517,49.4237485551409,81.40168087341587,69.06666666666666,80.20134228187919,33.44084832044831,1033.0817845335282
llama,8b,1e-06,0.01,400,7460.0,56.22866894197952,27.27272727272727,76.87642153146324,78.12188807010556,75.1904243743199,53.22217350473697,81.05072319224104,73.33333333333333,85.41666666666666,39.73241091970348,1074.040227513617
llama,8b,1e-06,0.01,600,11190.0,55.54607508532423,29.29292929292929,74.67778620166793,78.14180442143,74.9183895538629,56.02435784453648,82.56321006041748,66.83333333333333,82.45033112582782,41.83289065768091,1026.079009747844
llama,8b,1e-06,0.01,800,14920.1,56.14334470989761,28.28282828282828,76.80060652009098,78.33100975901215,75.35364526659413,56.77874031608388,82.86546363648452,47.4,77.89115646258503,36.38812151985562,960.5307723495564
llama,8b,1e-06,0.01,1000,18650.1,56.8259385665529,27.27272727272727,75.9666413949962,78.45050786695877,74.9727965179543,57.41296801405361,81.2518007774926,38.03333333333333,76.05633802816901,36.283910750656894,869.8721716015604
llama,8b,1e-06,0.01,1200,22380.1,56.91126279863481,26.262626262626267,73.08567096285064,78.43059151563435,74.9727965179543,57.651083419070105,81.37170485423123,32.7,70.0,37.98839093713947,829.8712163447057
llama,8b,1e-06,0.01,1400,26110.1,57.08191126279864,26.767676767676768,72.25170583775588,78.5700059749054,75.1904243743199,58.11686206836939,80.35379459833243,25.03333333333333,60.83916083916085,36.6538938599604,799.1687110556195
llama,8b,1e-06,0.01,1600,29840.1,57.5938566552901,26.767676767676768,74.52615617892343,78.54013144791874,75.1904243743199,58.40837122109739,81.77136664051383,22.366666666666667,60.0,35.79039629983235,793.3065780793434
llama,8b,1e-06,0.01,1800,33570.1,57.25255972696246,26.767676767676768,73.38893100833965,78.57996415056762,74.8639825897715,58.43820764143166,80.26137315655794,23.866666666666664,66.19718309859155,36.39200012991375,802.7000981861391
llama,8b,1e-06,0.01,2000,37300.2,57.5938566552901,25.75757575757576,73.1614859742229,78.6297550288787,75.1360174102285,58.5022934002486,81.66271049703676,23.666666666666664,62.58503401360544,34.52282567229726,771.5017828934872
llama,8b,1e-06,0.01,2031,37878.3,57.25255972696246,25.252525252525253,74.37452615617892,78.60983867755427,74.8639825897715,58.53764445294125,81.26554209497468,21.7,64.52702702702703,35.517804002458654,783.0521027162197
llama,8b,1e-06,0.02,200,3740.2,54.69283276450512,23.232323232323232,75.8150113722517,77.56423023302132,76.22415669205658,48.83358167793481,81.49160893096983,71.03333333333333,78.81944444444444,29.941709478340016,1034.7904879013672
