family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,48,345.2,57.081911262798634,22.727272727272727,33.81349507202426,67.19776936865166,75.29923830250273,47.278168154145625,65.32372992548659,51.46666666666667,45.09803921568628,3.8272850415114967,750.9416451704103,-0.32128068360998885,-0.11906708912306466,-0.2477484674329255,-0.22017388636652674
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,96,690.4,56.996587030716725,23.737373737373737,33.131159969673995,67.19776936865166,75.62568008705114,47.24037745161075,64.53188650558297,48.4,46.381578947368425,4.207682809304759,733.0347711692414,0.0989791779846465,-1.2555450654144356,-0.39357509234229243,-0.5782829437148945
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,144,1035.5,56.996587030716725,22.727272727272727,33.510235026535256,67.2176857199761,75.1904243743199,47.39442165676701,64.2296329295159,51.36666666666666,51.307189542483655,4.455012551961845,726.0888489285549,-0.29737112194041976,-0.6072490375885371,-0.41005400035791695,-0.45231007976447846
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,192,1380.7,56.56996587030717,24.242424242424242,33.131159969673995,67.24756024696276,75.29923830250273,47.34686593774352,63.34786145205832,50.9,51.9607843137255,5.247911216645378,719.9816315409922,-0.4946925790794365,-0.7046961026092124,-0.5710574967266276,-0.5996943408443245
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,240,1725.9,56.484641638225256,21.21212121212121,33.73768006065201,67.23760207130054,75.35364526659413,47.271264979058415,65.73463964503074,52.166666666666664,53.2258064516129,3.944065818647087,755.3198228536637,-0.5707821213106447,-0.6529255540166896,-0.6006524604764792,-0.6118538376636671
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,288,2071.1,57.081911262798634,25.252525252525253,33.206974981046244,67.31726747659829,75.24483133841132,47.229316362074044,64.3820064096597,49.96666666666667,49.668874172185426,5.012990382350199,763.7532134290802,-0.16838541889053454,-0.5166927931779638,-0.2950426459041452,-0.3425391060342492
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,336,2416.3,57.16723549488054,24.242424242424242,33.05534495830174,67.35710017924717,75.40805223068553,47.24780913877329,63.71505383493575,48.9,48.69281045751634,3.75177147787129,735.3555887419559,-0.5804282140078177,-1.004309288429842,-0.7345667865249172,-0.7923687512188298
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,384,2761.4,56.655290102389074,23.232323232323232,33.66186504927976,67.38697470623381,75.0816104461371,47.365310970463746,66.28418152723663,49.26666666666666,55.29801324503312,4.621873370511133,743.1331437156477,0.039559418566287086,-0.7703257563099278,-0.2549442813887002,-0.3653831688718204
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,432,3106.6,57.081911262798634,22.727272727272727,32.44882486732373,67.3770165305716,75.29923830250273,47.274193114755455,65.08142838778885,51.03333333333333,55.29801324503312,4.017291870773963,717.6177339032736,-0.6478172472207966,-0.9528318676832208,-0.7587316546616782,-0.8003245574520087
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,478,3437.4,57.081911262798634,22.22222222222222,32.676269901440484,67.2176857199761,75.35364526659413,47.24175631702923,65.08142838778885,50.166666666666664,53.896103896103895,3.820879467343144,737.4963958813735,-0.4713994054286993,-0.8514081608470023,-0.6095844073989912,-0.6614037831378508
