family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,48,345.2,57.081911262798634,22.727272727272727,33.81349507202426,67.19776936865166,75.29923830250273,47.278168154145625,65.32372992548659,51.46666666666667,45.09803921568628,3.8272850415114967,750.9416451704103
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,96,690.4,56.996587030716725,23.737373737373737,33.131159969673995,67.19776936865166,75.62568008705114,47.24037745161075,64.53188650558297,48.4,46.381578947368425,4.207682809304759,733.0347711692414
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,144,1035.5,56.996587030716725,22.727272727272727,33.510235026535256,67.2176857199761,75.1904243743199,47.39442165676701,64.2296329295159,51.36666666666666,51.307189542483655,4.455012551961845,726.0888489285549
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,192,1380.7,56.56996587030717,24.242424242424242,33.131159969673995,67.24756024696276,75.29923830250273,47.34686593774352,63.34786145205832,50.9,51.9607843137255,5.247911216645378,719.9816315409922
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,240,1725.9,56.484641638225256,21.21212121212121,33.73768006065201,67.23760207130054,75.35364526659413,47.271264979058415,65.73463964503074,52.166666666666664,53.2258064516129,3.944065818647087,755.3198228536637
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,288,2071.1,57.081911262798634,25.252525252525253,33.206974981046244,67.31726747659829,75.24483133841132,47.229316362074044,64.3820064096597,49.96666666666667,49.668874172185426,5.012990382350199,763.7532134290802
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,336,2416.3,57.16723549488054,24.242424242424242,33.05534495830174,67.35710017924717,75.40805223068553,47.24780913877329,63.71505383493575,48.9,48.69281045751634,3.75177147787129,735.3555887419559
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,384,2761.4,56.655290102389074,23.232323232323232,33.66186504927976,67.38697470623381,75.0816104461371,47.365310970463746,66.28418152723663,49.26666666666666,55.29801324503312,4.621873370511133,743.1331437156477
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,432,3106.6,57.081911262798634,22.727272727272727,32.44882486732373,67.3770165305716,75.29923830250273,47.274193114755455,65.08142838778885,51.03333333333333,55.29801324503312,4.017291870773963,717.6177339032736
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.01,478,3437.4,57.081911262798634,22.22222222222222,32.676269901440484,67.2176857199761,75.35364526659413,47.24175631702923,65.08142838778885,50.166666666666664,53.896103896103895,3.820879467343144,737.4963958813735
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,48,341.4,56.996587030716725,22.22222222222222,33.73768006065201,67.20772754431388,75.57127312295974,47.40687757818949,64.49066255313679,47.8,48.68421052631579,3.754982565627317,726.8814384806204
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,96,682.8,56.996587030716725,23.737373737373737,33.05534495830174,67.33718382792271,75.0272034820457,47.287623162435686,63.952368604192436,49.266666666666666,51.935483870967744,4.180928855164915,738.8271791075158
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,144,1024.2,56.655290102389074,21.71717171717172,34.495830174374525,67.26747659828719,75.29923830250273,47.39830101832187,63.35910938531985,49.3,51.31578947368421,3.851818695483276,737.049674279788
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,192,1365.5,56.74061433447098,22.727272727272727,34.11675511751327,67.24756024696276,75.29923830250273,47.37181550231857,65.02646311786062,48.233333333333334,50.993377483443716,3.9943947885170674,715.7823145426071
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,240,1706.9,56.996587030716725,21.21212121212121,33.35860500379076,67.34714200358495,75.1360174102285,47.3447059105215,63.984838007597624,49.633333333333326,51.31578947368421,4.573887930387046,753.9186149358499
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,288,2048.3,57.25255972696246,22.22222222222222,33.73768006065201,67.33718382792271,75.1904243743199,47.299364154097816,64.64054264906005,50.33333333333333,52.317880794701985,4.002607929591288,761.0625329220985
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,336,2389.7,56.8259385665529,22.727272727272727,33.05534495830174,67.167894841665,75.57127312295974,47.380134558036175,64.71922277335248,47.3,50.324675324675326,3.8010643362935226,745.1794628815492
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,384,2731.1,56.655290102389074,21.71717171717172,33.73768006065201,67.26747659828719,75.35364526659413,47.25313001776822,65.15512174364021,50.43333333333333,51.633986928104584,4.403141818103882,757.09995576074
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,432,3072.5,57.081911262798634,23.232323232323232,33.131159969673995,67.1579366660028,75.78890097932536,47.28148257237573,64.91282020594245,51.166666666666664,53.94736842105263,4.113314390194643,760.1687529333117
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,478,3399.6,56.655290102389074,22.727272727272727,33.131159969673995,67.25751842262497,75.29923830250273,47.32859478347331,66.08559732620559,49.26666666666666,50.967741935483865,4.625755258935885,758.0087846319757
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,48,348.5,56.655290102389074,23.737373737373737,34.34420015163002,67.26747659828719,75.40805223068553,47.497285336840775,64.18840897706973,48.36666666666666,48.675496688741724,3.793825189123479,734.8872453943688
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,96,697.0,56.31399317406144,22.727272727272727,32.752084912812734,67.33718382792271,75.40805223068553,47.26467905093362,64.79042274498332,48.86666666666666,55.29801324503312,4.854716895578635,786.1228438538338
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,144,1045.6,56.8259385665529,21.71717171717172,32.60045489006823,67.32722565226051,75.24483133841132,47.38640602478057,65.79708506762057,48.43333333333333,48.701298701298704,4.432635036102159,742.1946580981773
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,192,1394.1,56.8259385665529,20.707070707070706,32.90371493555724,67.19776936865166,75.57127312295974,47.2723543245817,64.75795334157812,52.56666666666666,50.649350649350644,4.685720922953484,740.7141902553016
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,240,1742.6,56.8259385665529,22.727272727272727,33.81349507202426,67.36705835490937,75.51686615886834,47.31339122477522,65.2475431854147,50.8,45.39473684210527,4.730588061633142,744.5501976103766
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,288,2091.1,56.8259385665529,22.22222222222222,34.420015163002276,67.23760207130054,75.24483133841132,47.29399875883751,63.454024211314874,50.266666666666666,50.98684210526315,4.256647281019914,745.9570826911558
