family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,14b,8e-08,0.01,200,6811.1,69.45392491467577,35.35353535353536,85.67096285064443,80.72097191794462,79.86942328618063,54.46557627040206,87.84259099190149,51.16666666666666,54.14012738853503,14.247468693374548,1062.2929236742843,-0.8911917375314861,-1.8068689991434073,-1.2241652872085484
qwen3,14b,8e-08,0.01,400,13622.2,69.11262798634812,36.36363636363637,86.5049279757392,80.98984266082454,79.92383025027203,54.89748572064141,87.21935575384425,54.33333333333333,59.03225806451613,16.898029581680422,1085.17401389186,-0.8438114101482034,-2.498409651615189,-1.4454834979543798
qwen3,14b,8e-08,0.01,600,20433.3,69.45392491467577,36.36363636363637,87.11144806671722,81.1790479984067,80.25027203482045,55.39442577035578,87.26556647473149,54.03333333333333,61.29032258064516,21.46129664013462,1112.917487512043,-0.8681859018016317,-2.459313837559391,-1.446777878440817
qwen3,14b,8e-08,0.01,800,27244.4,69.28327645051195,36.86868686868687,88.02122820318424,81.40808603863772,80.41349292709467,56.23428311252676,88.57448237343581,62.69999999999999,72.11538461538461,26.470748014244386,1135.340174219161,-0.6583567228475984,-1.910059948757016,-1.1135215322692047
qwen3,14b,8e-08,0.01,1000,34055.5,69.36860068259386,37.37373737373738,87.86959818043972,81.557458673571,80.30467899891185,56.834940938441456,86.91710217777718,63.96666666666667,76.28205128205127,29.22129160384338,1147.4777604264652,-0.6067290046498245,-1.4054211103521712,-0.8971624976324961
qwen3,14b,8e-08,0.01,1200,40866.6,69.6245733788396,37.37373737373738,88.17285822592874,81.61720772754431,80.35908596300327,57.39466753878991,86.87089145688995,65.93333333333334,73.37662337662337,32.79870370539002,1191.9244678176672,-0.5143606933157733,-1.5038623859036542,-0.8741794906204572
qwen3,14b,8e-08,0.01,1400,47677.7,69.7952218430034,36.36363636363637,87.86959818043972,81.75662218681538,80.08705114254624,57.85103717543434,87.99995124048635,67.16666666666666,75.64935064935064,33.967775060474416,1192.6609892699232,-0.6395818787753059,-1.0635800311071628,-0.7937630250777993
qwen3,14b,8e-08,0.01,1600,54488.8,69.7952218430034,36.86868686868687,88.32448824867323,81.79645488946426,80.57671381936888,58.17416529406574,86.1714694787608,66.63333333333333,74.83870967741936,35.68455565338317,1177.155444662253,-0.42578682139848284,-1.0353181076422002,-0.6474345618507438
qwen3,14b,8e-08,0.01,1800,61299.9,69.96587030716724,37.37373737373738,88.55193328279,81.88607847042422,80.19586507072906,58.3935741940462,86.73475267844874,68.63333333333333,79.73856209150327,37.48012413841524,1206.01913532877,-0.39714246514962986,-0.4752261814510396,-0.425536543804688
qwen3,14b,8e-08,0.01,2000,68111.0,69.88054607508532,37.37373737373738,88.17285822592874,81.89603664608643,80.08705114254624,58.50856747592567,87.63275885760893,69.16666666666666,79.35483870967742,36.73092888306648,1206.1008616473464,-0.39405035621735846,-0.4317046052345983,-0.40774281040544574
qwen3,14b,8e-08,0.01,2031,69166.7,70.05119453924915,36.86868686868687,88.02122820318424,81.84624576777534,80.41349292709467,58.44255734620422,87.17563841717754,67.13333333333333,76.12903225806451,38.1644216572124,1190.5291335024265,-0.5330004736084828,-0.7911427983657048,-0.6268704098838362
qwen3,14b,1e-07,0.01,200,3449.5,69.36860068259386,35.35353535353536,85.97422289613344,80.69109739095798,80.03264417845483,54.42453413316126,87.26556647473149,49.83333333333333,54.3046357615894,14.12907926689964,1081.1564281784051,-0.8800864855141821,-1.7770270671781798,-1.2062466970283632
qwen3,14b,1e-07,0.01,400,6899.0,69.19795221843003,35.858585858585855,86.42911296436695,80.9699263095001,80.19586507072906,55.07414861612388,88.07115121211719,55.6,59.210526315789465,18.34760000455838,1129.9163794520214,-0.8184937124022902,-2.1980008586869073,-1.3201326746876054
