family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,4b,4e-07,0.01,200,3222.7,66.46757679180887,35.35353535353536,80.81880212282032,76.81736705835492,78.23721436343853,56.76103196125034,81.43415027682106,81.46666666666665,82.58064516129032,28.31325788424659,1180.040763575665
qwen3,4b,4e-07,0.01,400,6445.5,67.06484641638225,37.87878787878788,85.59514783927217,77.69368651663015,78.29162132752992,60.13225955358308,80.36127475099403,84.6,86.75496688741721,37.18579356156389,1214.941903943545
qwen3,4b,4e-07,0.01,600,9668.2,68.00341296928327,35.35353535353536,87.11144806671722,78.15176259709222,78.45484221980414,61.90702960961859,81.78261457377536,84.56666666666666,85.25641025641025,36.37395696813319,1210.103048771932
qwen3,4b,4e-07,0.01,800,12891.0,68.77133105802048,38.88888888888889,86.8081880212282,78.3608842859988,78.23721436343853,62.74766177381872,81.28177679667726,82.66666666666666,84.83870967741936,37.50839348907649,1207.872578814064
qwen3,4b,4e-07,0.01,1000,16113.7,69.11262798634812,36.86868686868687,85.44351781652767,78.460466042621,78.34602829162132,63.45981728142331,80.4462160401069,81.9,89.74358974358975,38.47795355348877,1209.1669834721256
qwen3,4b,4e-07,0.01,1200,19336.4,69.28327645051195,37.87878787878788,83.62395754359363,78.72933678550089,78.34602829162132,63.84895109050719,79.6656205534648,82.3,84.640522875817,40.90954914340113,1178.7791758839426
qwen3,4b,4e-07,0.01,1400,22559.2,69.45392491467577,38.38383838383838,82.33510235026536,78.73929496116313,78.50924918389553,64.17948432388269,79.25720421814121,82.06666666666666,84.4155844155844,38.68573042214219,1186.1905194554652
qwen3,4b,4e-07,0.01,1600,25781.9,69.53924914675767,37.87878787878788,82.2592873388931,78.6795459071898,78.40043525571274,64.26895773118306,79.85295682123433,80.36666666666666,87.58169934640523,40.69656458459223,1174.0924672401843
qwen3,4b,4e-07,0.01,1800,29004.7,69.6245733788396,38.38383838383838,83.69977255496588,78.72933678550089,78.56365614798693,64.44951087514845,79.01240929622291,79.56666666666666,85.03184713375796,40.45664566662664,1184.3125216442077
qwen3,4b,4e-07,0.01,2000,32227.4,69.88054607508532,37.37373737373738,83.09325246398787,78.77912766381199,78.72687704026116,64.28151408421888,78.83005979689447,80.36666666666666,84.31372549019608,42.29079270221775,1149.9448300327758
qwen3,4b,4e-07,0.01,2031,32726.9,69.6245733788396,37.87878787878788,82.71417740712661,78.81896036646087,78.67247007616976,64.47977345119321,80.58235481854811,77.96666666666667,84.35374149659864,39.01652035143688,1173.358545957613
qwen3,4b,8e-07,0.01,200,3238.5,67.06484641638225,34.84848484848485,85.67096285064443,77.64389563831907,78.29162132752992,59.81865808988278,81.42290234355953,82.0,85.09933774834437,36.70055978149423,1231.7896515237576
qwen3,4b,8e-07,0.01,400,6476.9,68.85665529010238,37.37373737373738,86.9598180439727,78.6197968532165,78.23721436343853,63.13595391369078,80.15271701308086,84.26666666666667,83.77483443708608,40.20863343353534,1193.2031294588226
qwen3,4b,8e-07,0.01,600,9715.4,70.05119453924915,38.38383838383838,81.9560272934041,79.18741286596295,78.45484221980414,65.23196332875081,80.32132519492724,80.73333333333333,84.83870967741936,40.005288695414286,1211.9062348133398
qwen3,4b,8e-07,0.01,800,12953.9,70.13651877133105,37.87878787878788,85.29188779378318,79.28699462258514,78.61806311207835,65.76067338520652,78.72639042185845,79.66666666666666,83.55263157894737,39.7529317610869,1190.102364043591
qwen3,4b,8e-07,0.01,1000,16192.4,70.30716723549489,38.88888888888889,85.51933282789992,79.4264090818562,78.78128400435256,66.29151032220938,78.34296333727842,76.66666666666666,85.16129032258064,38.72506726468014,1146.9298880651206
qwen3,4b,8e-07,0.01,1200,19430.8,70.39249146757679,37.87878787878788,85.67096285064443,79.41645090619399,78.89009793253537,66.13491631783756,78.31298731809378,81.13333333333333,78.8961038961039,40.582641236607394,1178.6676344086748
qwen3,4b,8e-07,0.01,1400,22669.3,70.81911262798634,37.37373737373738,82.94162244124337,79.54590718980283,78.83569096844396,66.4061448426948,78.41665669312978,78.76666666666667,81.33333333333333,41.6841398831667,1140.322836500743
qwen3,4b,8e-07,0.01,1600,25907.8,71.07508532423208,37.87878787878788,84.3062926459439,79.55586536546505,79.16213275299239,66.43158931110025,78.89250521948429,76.93333333333334,82.88590604026845,41.262782339543136,1165.8465276134752
qwen3,4b,8e-07,0.01,1800,29146.3,71.07508532423208,36.86868686868687,86.9598180439727,79.61561441943836,78.94450489662677,66.2874091376941,76.14978257689597,76.9,83.55263157894737,39.23884704127324,1186.7891817150007
qwen3,4b,8e-07,0.01,2000,32384.7,70.73378839590444,35.858585858585855,85.51933282789992,79.55586536546505,78.78128400435256,66.39296796025921,78.0869204820986,76.63333333333333,80.06535947712419,40.10196649857718,1184.41173170517
qwen3,4b,8e-07,0.01,2031,32886.7,70.56313993174061,36.36363636363637,86.65655799848369,79.5857398924517,78.89009793253537,66.31435888892122,77.84212556018032,77.39999999999999,82.14285714285714,42.479106487356674,1129.1816100469405
qwen3,4b,1e-06,0.01,200,2913.7,67.06484641638225,34.84848484848485,86.73237300985596,77.823142800239,78.0739934711643,60.518656066536735,75.34419783951027,84.23333333333333,86.21794871794873,38.533618598199126,1210.0366390300778
qwen3,4b,1e-06,0.01,400,5827.3,70.39249146757679,36.86868686868687,87.56633813495071,79.02808205536745,78.61806311207835,64.40122483956662,78.55778224001206,79.4,85.29411764705883,42.326343780671294,1193.4057623911874
qwen3,4b,1e-06,0.01,600,8741.0,70.73378839590444,38.88888888888889,84.00303260045489,79.45628360884285,78.89009793253537,65.39374973343809,79.4695297366543,79.16666666666667,84.31372549019608,40.73275085260097,1171.5770326558709
qwen3,4b,1e-06,0.01,800,11654.7,70.64846416382252,39.39393939393939,87.03563305534496,79.64548894642502,79.16213275299239,65.62219142777094,79.36586036161829,79.6,82.05128205128204,40.056887878000815,1189.1131757395897
qwen3,4b,1e-06,0.01,1000,14568.3,70.90443686006826,37.37373737373738,87.94541319181198,79.71519617606054,79.21653971708379,65.73418291217806,78.65020368178655,77.1,83.55704697986577,41.14730702932958,1150.5563412438014
qwen3,4b,1e-06,0.01,1200,17482.0,71.160409556314,37.37373737373738,87.41470811220621,79.76498705437164,79.27094668117519,65.42069941111845,78.62022766260189,77.0,86.36363636363636,40.54258022139955,1171.1312140232958
qwen3,4b,1e-06,0.01,1400,20395.7,71.33105802047781,36.86868686868687,87.71796815769522,79.81477793268273,79.05331882480957,65.60555508301572,77.30881837967704,78.6,81.78807947019867,40.77818494484697,1173.5447855452644
qwen3,4b,1e-06,0.01,1600,23309.3,71.24573378839591,36.86868686868687,88.09704321455648,79.81477793268273,78.99891186071817,65.3527627944854,77.90207759854962,76.1,80.5921052631579,41.14070520540559,1147.324977819676
qwen3,4b,1e-06,0.01,1800,26223.0,70.98976109215018,37.37373737373738,87.79378316906747,79.88448516231827,79.10772578890098,65.15771757781154,77.49116787900549,76.86666666666667,83.44370860927152,41.69012185669763,1094.381083680681
qwen3,4b,1e-06,0.01,2000,29136.7,71.160409556314,36.86868686868687,88.62774829416225,79.93427604062936,79.16213275299239,65.16915045170238,77.76843220432896,76.83333333333334,83.33333333333334,39.52073272100985,1157.1018961738546
qwen3,4b,1e-06,0.01,2031,29588.3,71.33105802047781,37.37373737373738,88.09704321455648,79.80481975702051,78.94450489662677,65.1655054438634,79.34713227569516,77.1,78.70967741935485,38.75179230953136,1140.9381962095422
qwen3,4b,1e-06,0.02,200,2913.7,67.4061433447099,36.86868686868687,86.9598180439727,77.61402111133239,78.29162132752992,60.463242362940015,74.225111592796,83.89999999999999,86.18421052631578,36.236164320753645,1187.1586054962413
qwen3,4b,1e-06,0.02,400,5827.3,69.7098976109215,35.858585858585855,86.12585291887794,78.56004779924318,78.40043525571274,64.35173113514028,78.14687252046791,81.1,88.63636363636364,37.6747957501518,1177.7886867801976
qwen3,4b,1e-06,0.02,600,8741.0,70.13651877133105,38.88888888888889,81.72858225928734,78.87870942043418,79.27094668117519,65.2359956444066,77.8995842143291,76.63333333333333,85.19736842105263,33.96771484887026,1135.047209405789
qwen3,4b,1e-06,0.02,800,11654.7,70.13651877133105,38.38383838383838,80.97043214556481,79.02808205536745,78.99891186071817,65.97393694743106,77.35004233212321,76.16666666666666,82.14285714285714,34.47261156794034,1132.553192898954
qwen3,4b,1e-06,0.02,1000,14568.3,70.56313993174061,37.37373737373738,83.92721758908263,79.27703644692292,79.10772578890098,65.75800421077108,77.4149811389336,71.39999999999999,80.92105263157895,32.98357054477595,1111.9445681607094
qwen3,4b,1e-06,0.02,1200,17482.0,70.64846416382252,36.86868686868687,80.89461713419257,79.28699462258514,79.16213275299239,65.4694701447283,78.3479501057195,72.56666666666666,82.02614379084967,36.982319542568085,1146.4393931663292
qwen3,4b,1e-06,0.02,1400,20395.7,70.64846416382252,36.36363636363637,77.8620166793025,79.12766381198965,78.94450489662677,66.1386538574091,77.53987198411325,66.86666666666667,81.45695364238411,36.00872327581643,1101.2146331461038
qwen3,4b,1e-06,0.02,1600,23309.3,70.56313993174061,37.37373737373738,80.89461713419257,79.1575383389763,78.99891186071817,66.252956360525,77.52363728241068,69.86666666666666,82.89473684210526,35.08908226959319,1095.4959737887489
qwen3,4b,1e-06,0.02,1800,26223.0,70.64846416382252,37.87878787878788,83.24488248673238,79.29695279824736,79.21653971708379,65.78827054278281,77.70598678173913,72.46666666666667,83.33333333333334,36.08847084203488,1127.4045560472482
qwen3,4b,1e-06,0.02,2000,29136.7,70.90443686006826,37.37373737373738,81.6527672479151,79.2670782712607,79.05331882480957,65.88285133744833,77.35502910056428,70.23333333333333,81.37931034482759,33.01596812912445,1106.1248155538158
qwen3,4b,1e-06,0.02,2031,29588.3,70.73378839590444,37.87878787878788,83.09325246398787,79.13762198765187,79.16213275299239,65.93633468812442,74.58731720723236,69.5,80.64516129032258,33.21044040636681,1142.9512496083648
qwen3,4b,1e-06,0.04,200,2913.7,66.89419795221842,35.35353535353536,87.26307808946171,77.53435570603465,78.34602829162132,59.77071319612879,71.8495813330851,82.1,82.43243243243244,31.48935128884064,1189.4938074984516
qwen3,4b,1e-06,0.04,400,5827.3,69.53924914675767,34.84848484848485,87.49052312357847,78.03226448914559,78.40043525571274,62.96574269535131,76.70431122754292,78.8,80.51948051948052,30.63719856844586,1125.0293959227752
qwen3,4b,1e-06,0.04,600,8741.0,69.88054607508532,34.84848484848485,82.10765731614859,78.28121888070105,79.05331882480957,64.52846905433564,77.36001586900534,72.46666666666667,80.66666666666666,28.846275035019143,1128.7049801215874
qwen3,4b,1e-06,0.04,800,11654.7,69.6245733788396,36.36363636363637,78.69598180439728,78.35092611033659,78.72687704026116,65.14642373905257,76.22846270118839,67.83333333333333,75.81699346405229,28.497474806625167,1071.824194306469
qwen3,4b,1e-06,0.04,1000,14568.3,70.05119453924915,35.35353535353536,78.31690674753601,78.38080063732325,79.10772578890098,65.31389188918689,78.93871594037155,68.46666666666667,75.6578947368421,28.4733029775764,1071.8339641604243
qwen3,4b,1e-06,0.04,1200,17482.0,70.05119453924915,36.86868686868687,75.89082638362396,78.44054969129655,79.16213275299239,64.93823321799948,78.1356245872064,69.83333333333333,79.80132450331125,29.329291677234465,1112.8108436125074
qwen3,4b,1e-06,0.04,1400,20395.7,70.05119453924915,36.86868686868687,75.05686125852918,78.50029874526987,78.67247007616976,65.65624964003479,74.93578150418668,68.63333333333333,76.1744966442953,27.19924934068894,1057.336178988366
qwen3,4b,1e-06,0.04,1600,23309.3,69.96587030716724,36.86868686868687,77.33131159969673,78.45050786695877,78.83569096844396,65.90050733574114,75.05568558092529,64.43333333333334,75.81699346405229,27.373373020378946,1085.4963197047432
qwen3,4b,1e-06,0.04,1800,26223.0,70.05119453924915,36.36363636363637,79.45413191811978,78.40071698864767,78.50924918389553,65.38327854650804,77.06901022619981,66.4,81.25,28.113302374268773,1046.7494521552633
qwen3,4b,1e-06,0.04,2000,29136.7,70.05119453924915,35.35353535353536,79.45413191811978,78.42063333997211,78.94450489662677,65.3938026468867,75.7113902223877,66.13333333333333,77.81456953642383,25.89833091026427,1056.852684843313
qwen3,4b,1e-06,0.04,2031,29588.3,70.05119453924915,36.86868686868687,79.37831690674754,78.5700059749054,78.78128400435256,65.5251862947413,76.29090812377824,64.6,79.60526315789474,27.71451165787201,1082.3937478755574
qwen3,4b,1e-06,0.08,200,691.6,66.89419795221842,33.33333333333333,84.38210765731615,77.28540131447919,78.23721436343853,58.80568431980485,72.63267020394775,78.0,82.46753246753246,23.049361848796977,1108.7235904780937
qwen3,4b,1e-06,0.08,400,1383.3,68.60068259385666,36.86868686868687,88.24867323730099,77.64389563831907,78.56365614798693,62.02596788956185,74.73719730315563,75.06666666666666,77.27272727272727,24.81025111733896,1128.4648542375253
qwen3,4b,1e-06,0.08,600,2074.9,68.94197952218431,35.858585858585855,83.77558756633815,77.70364469229237,78.56365614798693,63.05496530341596,77.41747452315413,71.26666666666667,78.75816993464052,20.78867369433236,1102.8672918692523
qwen3,4b,1e-06,0.08,800,2766.5,69.36860068259386,37.87878787878788,77.78620166793026,77.91276638119896,78.72687704026116,63.405980521021846,75.57774482816704,67.03333333333333,79.13907284768213,20.86262508862231,1094.3649202025726
qwen3,4b,1e-06,0.08,1000,3458.1,69.36860068259386,36.86868686868687,76.95223654283548,77.84305915156344,78.83569096844396,63.93523463239649,78.63147559586342,66.73333333333332,73.20261437908496,20.638000138716546,1046.8522653846103
qwen3,4b,1e-06,0.08,1200,4149.8,69.02730375426621,36.36363636363637,75.9666413949962,77.95259908384784,78.99891186071817,63.69038461068095,77.11272756286654,67.89999999999999,79.27631578947368,20.46582673044441,1035.6364117340358
